1	Acquisition costs (AC)		
5.06.040	Drainage disconnections and connections
5.06.050	CCTV inspection of existing or new drains
5.06.060	Buried process pipe
5.07.	External and ancillary works	
5.07.010	Permanent retaining structures
5.07.020	Site enclosures and divisions
5.07.030	Ancillary structures
5.07.040	Roads and paving
5.07.050	Landscaping (hard and soft)
5.07.060	Fittings and equipment
5.07.070	External services
5.08.	Preliminaries | Constructors’ site overheads | general requirements	
5.08.010	Construction management including site management staff and support labour
5.08.020	Temporary access roads and storage areas, traffic management and diversion (at the Constructors’ discretion)
5.08.030	Temporary site fencing and securities
5.08.040	Commonly shared construction plant
5.08.050	Commonly shared scaffolding
5.08.060	Other temporary facilities and services
5.08.070	Technology and communications: telephone, broadband, hardware, software
5.08.080	Constructor’s submissions, reports and as-built documentation
5.08.090	Quality monitoring, recording and inspections
5.08.100	Safety, health and environmental management
5.08.110	Insurances, bonds, guarantees and warranties
5.08.120	Constructor’s statutory fees and charges
5.08.130	Testing and commissioning
5.09.	Risk allowances	
5.09.010	Design development allowance
5.09.020	Construction contingencies
5.09.030	Price level adjustments
5.09.040	Exchange rate fluctuation adjustments
5.10.	Taxes and levies	
5.10.010	Paid by the Constructor
5.10.020	Paid by the Client in relation to the construction contract payments
5.11.	Work and utilities off-site	
5.11.010	Connections to, diversion of and capacity enhancement of public utility mains or sources off-site up to mains connections on-site
5.11.020	Public access roads and footpaths
5.12.	Post-completion loose furniture, fittings and equipment	
5.12.010	Production, process, operating and loose furniture, furnishing and equipment not normally provided before completion of construction
5.13.	Construction | Renewal| Maintenance-related consultancies and supervision
5.13.010	Consultants’ fees and reimbursable
5.13.020	Charges and levies payable to statutory bodies or their appointed agencies (in connection with planning, design, tender and contract approvals, supervision and acceptance inspections)
5.13.030	Site supervision charges (including their accommodation and travels)
5.13.040	Payments to testing authorities or laboratories




6	End of life costs		
6.01.	Disposal inspection	
6.01.010	Dilapidations report
6.01.020	Contractual handback obligations
6.02.	Decommissioning and decontamination	
6.02.010	Shutdowns and decommissioning
6.02.020	Decontamination
6.03.	Demolition, reclamation and salvage	
6.03.010	Demolition
6.03.020	Reclamation
6.03.030	Salvage
6.04.	Reinstatement	
6.04.010	Agreed reinstatement works
6.04.020	Contractual obligations
6.05.	Constructors’ site overheads | general requirements	
6.05.010	Administration
6.05.020	Overheads (project specific)
6.06.	Risk Allowances	
6.06.010	End of life specific (user definable)
6.06.020	Abnormal risks (user definable)
6.07.	Taxes and levies	
6.07.010	Taxes
6.07.020	Levies
6.07.030	Credit for grants
